id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,retries_number
01K095WB7ZC587QEBPYG9AG435,AGUILAR - GS810,Baffles basse,GS810,"Je ne dispose pas d'informations sur le modèle Aguilar GS810 dans les résultats de recherche fournis. Les résultats concernent uniquement les modèles Aguilar S 810 et Aguilar DB 810, qui sont des cabinets de basse différents. Pour enrichir le catalogue Mulster avec une description précise du GS810, je recommande de consulter directement le site officiel d'Aguilar Amplification ou des forums spécialisés comme Audiofanzine, afin de vérifier l'existence de ce modèle et d'obtenir ses caractéristiques détaillées.",2700,0,0,0,0,"{'Puissance admissible': '1400 W RMS', 'Réponse en fréquence': '40 Hz – 16 kHz', 'Sensibilité': '104 dB @ 1 W / 1 m', 'Impédance': '4 Ω', 'Haut-parleurs': '8 x 10"" haut-parleurs céramiques Eminence', 'Tweeter': 'Tweeter phénolique avec ogive de phase', 'Crossover': 'Filtre passif avec réglage de niveau du tweeter', 'Connectique': '1 x Speakon, 2 x jack 6,35 mm', 'Type de charge': 'Baffle bass-reflex'}",https://aguilaramp.com/products/db-810-bass-cabinet,,1
01K095WB7ZC587QEBPYG9AG435,AGUILAR - GS810,Baffles basse,GS810,"Je ne dispose pas d'informations sur le modèle Aguilar GS810 dans les résultats de recherche fournis. Les résultats concernent uniquement les modèles Aguilar S 810 et Aguilar DB 810, qui sont des cabinets de basse différents. Pour enrichir le catalogue Mulster avec une description précise du GS810, je recommande de consulter directement le site officiel d'Aguilar Amplification ou des forums spécialisés comme Audiofanzine, afin de vérifier l'existence de ce modèle et d'obtenir ses caractéristiques détaillées.",2700,0,0,0,0,"{'Puissance admissible': '1400 W RMS', 'Réponse en fréquence': '40 Hz – 16 kHz', 'Sensibilité': '104 dB @ 1 W / 1 m', 'Impédance': '4 Ω', 'Haut-parleurs': '8 x 10"" haut-parleurs céramiques Eminence', 'Tweeter': 'Tweeter phénolique avec ogive de phase', 'Crossover': 'Filtre passif avec réglage de niveau du tweeter', 'Connectique': '1 x Speakon, 2 x jack 6,35 mm', 'Type de charge': 'Baffle bass-reflex'}",https://aguilaramp.com/products/db-810-bass-cabinet,,2
01K095WB7ZC587QEBPYG9AG435,AGUILAR - GS810,Baffles basse,GS810,"Je ne dispose pas d'informations sur le modèle Aguilar GS810 dans les résultats de recherche fournis. Les résultats concernent uniquement les modèles Aguilar S 810 et Aguilar DB 810, qui sont des cabinets de basse différents. Pour enrichir le catalogue Mulster avec une description précise du GS810, je recommande de consulter directement le site officiel d'Aguilar Amplification ou des forums spécialisés comme Audiofanzine, afin de vérifier l'existence de ce modèle et d'obtenir ses caractéristiques détaillées.",2700,0,0,0,0,"{'Puissance admissible': '1400 W RMS', 'Réponse en fréquence': '40 Hz – 16 kHz', 'Sensibilité': '104 dB @ 1 W / 1 m', 'Impédance': '4 Ω', 'Haut-parleurs': '8 x 10"" haut-parleurs céramiques Eminence', 'Tweeter': 'Tweeter phénolique avec ogive de phase', 'Crossover': 'Filtre passif avec réglage de niveau du tweeter', 'Connectique': '1 x Speakon, 2 x jack 6,35 mm', 'Type de charge': 'Baffle bass-reflex'}",https://aguilaramp.com/products/db-810-bass-cabinet,,3
01K095WB7ZC587QEBPYG9AG435,AGUILAR - GS810,Baffles basse,GS810,"Je ne dispose pas d'informations sur le modèle Aguilar GS810 dans les résultats de recherche fournis. Les résultats concernent uniquement les modèles Aguilar S 810 et Aguilar DB 810, qui sont des cabinets de basse différents. Pour enrichir le catalogue Mulster avec une description précise du GS810, je recommande de consulter directement le site officiel d'Aguilar Amplification ou des forums spécialisés comme Audiofanzine, afin de vérifier l'existence de ce modèle et d'obtenir ses caractéristiques détaillées.",2700,0,0,0,0,"{'Puissance admissible': '1400 W RMS', 'Réponse en fréquence': '40 Hz – 16 kHz', 'Sensibilité': '104 dB @ 1 W / 1 m', 'Impédance': '4 Ω', 'Haut-parleurs': '8 x 10"" haut-parleurs céramiques Eminence', 'Tweeter': 'Tweeter phénolique avec ogive de phase', 'Crossover': 'Filtre passif avec réglage de niveau du tweeter', 'Connectique': '1 x Speakon, 2 x jack 6,35 mm', 'Type de charge': 'Baffle bass-reflex'}",https://aguilaramp.com/products/db-810-bass-cabinet,,4
01K095WB7ZC587QEBPYG9AG435,AGUILAR - GS810,Baffles basse,GS810,"Je ne dispose pas d'informations sur le modèle Aguilar GS810 dans les résultats de recherche fournis. Les résultats concernent uniquement les modèles Aguilar S 810 et Aguilar DB 810, qui sont des cabinets de basse différents. Pour enrichir le catalogue Mulster avec une description précise du GS810, je recommande de consulter directement le site officiel d'Aguilar Amplification ou des forums spécialisés comme Audiofanzine, afin de vérifier l'existence de ce modèle et d'obtenir ses caractéristiques détaillées.",2700,0,0,0,0,"{'Puissance admissible': '1400 W RMS', 'Réponse en fréquence': '40 Hz – 16 kHz', 'Sensibilité': '104 dB @ 1 W / 1 m', 'Impédance': '4 Ω', 'Haut-parleurs': '8 x 10"" haut-parleurs céramiques Eminence', 'Tweeter': 'Tweeter phénolique avec ogive de phase', 'Crossover': 'Filtre passif avec réglage de niveau du tweeter', 'Connectique': '1 x Speakon, 2 x jack 6,35 mm', 'Type de charge': 'Baffle bass-reflex'}",https://aguilaramp.com/products/db-810-bass-cabinet,,5
01K095WK65MYDK882P7HB6JP7A,AGUILAR - GS112,Baffles basse,GS112,"Enceinte compacte 300W au timbre riche et chaleureux. Dotée d'un haut-parleur 12 à aimant puissant et d'un tweeter ajustable, elle délivre des graves profonds, des médiums caractéristiques et des aigus lisses. Construction robuste en acajou des Philippines. Portable et fiable, elle s'adapte à tous les styles musicaux.",699,0,0,0,0,"{'Puissance admissible': '300 W RMS', 'Réponse en fréquence': '42 Hz – 16 kHz', 'Sensibilité': '95 dB (1 W/1 m)', 'Impédance': '8 Ω', 'Haut-parleurs': '1 x 12″ woofer fonte, aimant 56 oz + tweeter phénolique avec phase plug', 'Type de tweeter': 'Tweeter réglable via atténuateur', 'Type de charge': 'Évent bass-reflex (2 évents frontaux)', 'Connectique': '1 x Speakon, 2 x jack 6,35 mm', 'Construction caisse': 'Contreplaqué acajou philippin 7 plis', 'Poignées et matériel': '1 poignée encastrée à ressort, coins de protection verrouillables'}",https://www.aguilaramp.com/wp-content/uploads/manuals/gs_112_manual.pdf,,1
01K095WK65MYDK882P7HB6JP7A,AGUILAR - GS112,Baffles basse,GS112,"Enceinte compacte 300W au timbre riche et chaleureux. Dotée d'un haut-parleur 12 à aimant puissant et d'un tweeter ajustable, elle délivre des graves profonds, des médiums caractéristiques et des aigus lisses. Construction robuste en acajou des Philippines. Portable et fiable, elle s'adapte à tous les styles musicaux.",699,0,0,0,0,"{'Puissance admissible': '300 W RMS', 'Réponse en fréquence': '42 Hz – 16 kHz', 'Sensibilité': '95 dB (1 W/1 m)', 'Impédance': '8 Ω', 'Haut-parleurs': '1 x 12″ woofer fonte, aimant 56 oz + tweeter phénolique avec phase plug', 'Type de tweeter': 'Tweeter réglable via atténuateur', 'Type de charge': 'Évent bass-reflex (2 évents frontaux)', 'Connectique': '1 x Speakon, 2 x jack 6,35 mm', 'Construction caisse': 'Contreplaqué acajou philippin 7 plis', 'Poignées et matériel': '1 poignée encastrée à ressort, coins de protection verrouillables'}",https://www.aguilaramp.com/wp-content/uploads/manuals/gs_112_manual.pdf,,2
01K095WK65MYDK882P7HB6JP7A,AGUILAR - GS112,Baffles basse,GS112,"Enceinte compacte 300W au timbre riche et chaleureux. Dotée d'un haut-parleur 12 à aimant puissant et d'un tweeter ajustable, elle délivre des graves profonds, des médiums caractéristiques et des aigus lisses. Construction robuste en acajou des Philippines. Portable et fiable, elle s'adapte à tous les styles musicaux.",699,0,0,0,0,"{'Puissance admissible': '300 W RMS', 'Réponse en fréquence': '42 Hz – 16 kHz', 'Sensibilité': '95 dB (1 W/1 m)', 'Impédance': '8 Ω', 'Haut-parleurs': '1 x 12″ woofer fonte, aimant 56 oz + tweeter phénolique avec phase plug', 'Type de tweeter': 'Tweeter réglable via atténuateur', 'Type de charge': 'Évent bass-reflex (2 évents frontaux)', 'Connectique': '1 x Speakon, 2 x jack 6,35 mm', 'Construction caisse': 'Contreplaqué acajou philippin 7 plis', 'Poignées et matériel': '1 poignée encastrée à ressort, coins de protection verrouillables'}",https://www.aguilaramp.com/wp-content/uploads/manuals/gs_112_manual.pdf,,3
01K095WK65MYDK882P7HB6JP7A,AGUILAR - GS112,Baffles basse,GS112,"Enceinte compacte 300W au timbre riche et chaleureux. Dotée d'un haut-parleur 12 à aimant puissant et d'un tweeter ajustable, elle délivre des graves profonds, des médiums caractéristiques et des aigus lisses. Construction robuste en acajou des Philippines. Portable et fiable, elle s'adapte à tous les styles musicaux.",699,0,0,0,0,"{'Puissance admissible': '300 W RMS', 'Réponse en fréquence': '42 Hz – 16 kHz', 'Sensibilité': '95 dB (1 W/1 m)', 'Impédance': '8 Ω', 'Haut-parleurs': '1 x 12″ woofer fonte, aimant 56 oz + tweeter phénolique avec phase plug', 'Type de tweeter': 'Tweeter réglable via atténuateur', 'Type de charge': 'Évent bass-reflex (2 évents frontaux)', 'Connectique': '1 x Speakon, 2 x jack 6,35 mm', 'Construction caisse': 'Contreplaqué acajou philippin 7 plis', 'Poignées et matériel': '1 poignée encastrée à ressort, coins de protection verrouillables'}",https://www.aguilaramp.com/wp-content/uploads/manuals/gs_112_manual.pdf,,4
01K095WK65MYDK882P7HB6JP7A,AGUILAR - GS112,Baffles basse,GS112,"Enceinte compacte 300W au timbre riche et chaleureux. Dotée d'un haut-parleur 12 à aimant puissant et d'un tweeter ajustable, elle délivre des graves profonds, des médiums caractéristiques et des aigus lisses. Construction robuste en acajou des Philippines. Portable et fiable, elle s'adapte à tous les styles musicaux.",699,0,0,0,0,"{'Puissance admissible': '300 W RMS', 'Réponse en fréquence': '42 Hz – 16 kHz', 'Sensibilité': '95 dB (1 W/1 m)', 'Impédance': '8 Ω', 'Haut-parleurs': '1 x 12″ woofer fonte, aimant 56 oz + tweeter phénolique avec phase plug', 'Type de tweeter': 'Tweeter réglable via atténuateur', 'Type de charge': 'Évent bass-reflex (2 évents frontaux)', 'Connectique': '1 x Speakon, 2 x jack 6,35 mm', 'Construction caisse': 'Contreplaqué acajou philippin 7 plis', 'Poignées et matériel': '1 poignée encastrée à ressort, coins de protection verrouillables'}",https://www.aguilaramp.com/wp-content/uploads/manuals/gs_112_manual.pdf,,5
01K095WRFSXDGMQGQADVH8KPD1,AGUILAR - DB115,Baffles basse,DB115,"Conçu pour offrir un grave profond et ample avec un médium bien affirmé, le Aguilar DB115 est un baffle 1x15 idéal en config stand‑alone ou en complément d’un 2x10/4x10 pour un stack très polyvalent et puissant.",799,0,0,0,0,"{'Puissance': '400 W RMS', 'Impédance': '8 Ω', 'Réponse en fréquence': '32 Hz – 3 kHz', 'Sensibilité': '96 dB (1 W / 1 m)', 'Haut-parleur': '1 × 38 cm (15"") Eminence, châssis moulé, aimant céramique', 'Type de charge': 'Baffle bass-reflex, full range sans tweeter', 'Connectique': '1 × Speakon Neutrik, 2 × jack 6,35 mm', 'Construction': 'Contreplaqué bouleau 13 plis, qualité Baltic birch'}",https://www.aguilar.com/products/cabinets/db-115/,,1
01K095WRFSXDGMQGQADVH8KPD1,AGUILAR - DB115,Baffles basse,DB115,"Conçu pour offrir un grave profond et ample avec un médium bien affirmé, le Aguilar DB115 est un baffle 1x15 idéal en config stand‑alone ou en complément d’un 2x10/4x10 pour un stack très polyvalent et puissant.",799,0,0,0,0,"{'Puissance': '400 W RMS', 'Impédance': '8 Ω', 'Réponse en fréquence': '32 Hz – 3 kHz', 'Sensibilité': '96 dB (1 W / 1 m)', 'Haut-parleur': '1 × 38 cm (15"") Eminence, châssis moulé, aimant céramique', 'Type de charge': 'Baffle bass-reflex, full range sans tweeter', 'Connectique': '1 × Speakon Neutrik, 2 × jack 6,35 mm', 'Construction': 'Contreplaqué bouleau 13 plis, qualité Baltic birch'}",https://www.aguilar.com/products/cabinets/db-115/,,2
01K095WRFSXDGMQGQADVH8KPD1,AGUILAR - DB115,Baffles basse,DB115,"Conçu pour offrir un grave profond et ample avec un médium bien affirmé, le Aguilar DB115 est un baffle 1x15 idéal en config stand‑alone ou en complément d’un 2x10/4x10 pour un stack très polyvalent et puissant.",799,0,0,0,0,"{'Puissance': '400 W RMS', 'Impédance': '8 Ω', 'Réponse en fréquence': '32 Hz – 3 kHz', 'Sensibilité': '96 dB (1 W / 1 m)', 'Haut-parleur': '1 × 38 cm (15"") Eminence, châssis moulé, aimant céramique', 'Type de charge': 'Baffle bass-reflex, full range sans tweeter', 'Connectique': '1 × Speakon Neutrik, 2 × jack 6,35 mm', 'Construction': 'Contreplaqué bouleau 13 plis, qualité Baltic birch'}",https://www.aguilar.com/products/cabinets/db-115/,,3
